disease_id,disease_name,context_summary,domain,symptoms,urgency_classification,urgency_justification,recommended_tests,prevalence,link
0,abdominal aortic aneurysm,"An abdominal aortic aneurysm (AAA) is an enlargement or bulge in the part of your aorta that extends through your belly or abdomen (abdominal aorta). The bulge forms in an area where your aorta’s wall has grown weak. Normally, your aorta’s wall is strong and flexible enough to manage the constant pressure of blood your heart pumps out. But various factors like aging, tobacco use and certain medical conditions can weaken your aorta’s wall. When the wall is weak, it can’t handle the forces of blood flow as well it should.",Cardiovascular / Cardiology,"palpitations, burning abdominal pain, arm swelling, shortness of breath, sharp abdominal pain",high,Time-sensitive vascular emergency,"How is an abdominal aortic aneurysm diagnosed? Since AAAs don’t usually cause symptoms, healthcare providers often diagnose unruptured AAAs through tests ordered for other health conditions. If your provider suspects you have an AAA due to test results or other reasons, they may perform: Abdominal duplex ultrasound . Computed tomography angiogram (CTA) . Screening for abdominal aortic aneurysms Healthcare providers recommend an ultrasound screening for people at risk for an AAA. This imaging test is simple and painless and shows if you have an AAA. If you do, your provider will recommend additional ultrasounds at regular intervals (usually every six to 12 months) to monitor the aneurysm. If it grows too large or you have other risk factors for aneurysm rupture, your provider will recommend surgery. ","0.797, 0.789, 0.760, 0.760, 0.565",https://my.clevelandclinic.org/health/diseases/7153-abdominal-aortic-aneurysm
1,abdominal hermia,A hernia occurs when an internal part of the body pushes through a weakness in the muscle or surrounding tissue wall - in this case in the abdomin. ,Gastroenterology / Hepatology,"symptoms of the scrotum and testes, lower abdominal pain, sharp abdominal pain, irregular belly button, upper abdominal pain",mild,Needs timely evaluation,Ultrasound scan,"0.751, 0.715, 0.592, 0.567, 0.560",https://www.nhs.uk/conditions/hernia/
2,abscess of nose,"An abscess is a bacterial infection that forms a pocket of pus. You can get an abscess in your nose after an injury, such as a blow to the face. A nasal abscess also may develop if you have had a sinus infection (sinusitis).",ENT / Otolaryngology,"vomiting, irritable infant, nasal congestion, sore throat, coryza",mild,Needs timely evaluation,N/A,"0.807, 0.775, 0.531, 0.531, 0.524",https://myhealth.alberta.ca/Health/aftercareinformation/pages/conditions.aspx?hwid=uh5083
3,abscess of the lung,"A lung abscess is a pocket of pus in your lung , surrounded by inflamed tissue. It usually happens when bacteria that normally live in your mouth or throat are breathed into the lungs, leading to an infection.",Respiratory / Pulmonology,"depressive or psychotic symptoms, shortness of breath, itchy eyelid, cough",high,Serious infection can spread quickly,"Chest X-ray, CT scan of the chest","1.0, 0.894, 0.789, 0.421",https://www.webmd.com/lung/lung-abscess-overview
4,abscess of the pharynx,"Abscess of the pharynx also known as retropharyngeal (pronounced “reh-tro-fah-RIN-jee-ul”) abscess is a collection of pus deep in the back of your child’s throat. It’s a serious condition that happens when bacteria infect the lymph nodes there. Usually, the bacteria are the same as those that cause common upper respiratory infections, like strep throat and tonsillitis.",ENT / Otolaryngology,"sharp chest pain, headache, throat swelling, sore throat, fever",high,Serious infection can spread quickly,"How doctors diagnose this condition
A healthcare provider (likely an otolaryngologist, or “ENT”) will assess your child’s symptoms and do a physical exam. An imaging test, like an X-ray or a CT scan, can show the abscess. Your child may also need blood tests, like a complete blood count (CBC) and a bacteria culture test.
High levels of white blood cells in the CBC are signs of an infection. The culture can show which types of bacteria are causing it.","0.780, 0.727, 0.695, 0.527, 0.507",https://my.clevelandclinic.org/health/diseases/24026-retropharyngeal-abscess#diagnosis-and-tests
5,acanthosis nigricans,"This skin disorder results in light-brown-to-black spots. It often happens to otherwise healthy people, but in some cases, it may be a sign of an underlying condition. The markings look like a spot or stain that you might think you can scrub off. But washing will not remove acanthosis nigricans (AN).",Endocrinology,"skin growth, acne or pimples, weight gain, skin lesion ",low,Usually managed with routine outpatient care,"How is acanthosis nigricans diagnosed? Your healthcare provider will talk to you about your symptoms and medical history and perform a physical exam . Often, these steps are enough to diagnose AN. Other tests to diagnose AN include: Blood work, which can help confirm or rule out underlying conditions such as diabetes. Skin biopsy (taking a sample of skin tissue), on rare occasions, if the diagnosis is not straightforward.","0.866, 0.833, 0.633, 0.633",https://my.clevelandclinic.org/health/diseases/12168-acanthosis-nigricans
7,achalasia,Achalasia (ay·kuh· lay ·zhuh) or cardiospasm is a rare esophageal disorder that develops when your esophagus doesn’t move food and liquid to your stomach like it should.,Gastroenterology / Hepatology,"chest tightness, cough, throat feels tight, difficulty in swallowing, sharp chest pain",mild,Needs timely evaluation,How do healthcare providers diagnose cardiospasm? A healthcare provider will do a physical exam . They’ll ask you to describe your symptoms and how long you’ve had them. Providers commonly use these three tests to diagnose cardiospasm: Esophagram test (barium swallow) Esophageal manometry test Upper endoscopy,"0.845, 0.773, 0.678, 0.523, 0.5",https://my.clevelandclinic.org/health/diseases/17534-achalasia
8,acne,"Acne is a common skin condition where the pores of your skin clog. Pore blockages produce blackheads, whiteheads and other types of pimples. Pimples are pus-filled, sometimes painful, bumps on your skin.",Dermatology,"irregular appearing scalp, skin dryness/peeling/scaliness or roughness, long menstrual periods, abnormal appearing skin, skin rash",low,Usually managed with routine outpatient care,"How is acne diagnosed? A healthcare provider can diagnose acne during a skin exam. During this exam, a provider will closely look at your skin to learn more about your symptoms. In addition, they may also ask about risk factors for acne, like: Are you feeling stressed? Do you have a family history of acne? Do you notice breakouts during your menstrual cycle? What medications do you currently take? Your healthcare provider won’t need to run any diagnostic tests for acne, but they may offer tests to diagnose any underlying conditions if you have sudden, severe acne outbreaks, especially if you’re an adult.","0.691, 0.679, 0.669, 0.548, 0.528",https://my.clevelandclinic.org/health/diseases/12233-acne
9,actinic keratosis,"Actinic keratosis (pronounced ak-TIN-ik ker-uh-TOH-sis), also known as solar keratosis, is a skin condition that happens with too much sun exposure. It causes rough, scaly spots of skin. ",Dermatology,"symptoms of the face, irregular appearing scalp, skin dryness/peeling/scaliness or roughness, skin moles, itching of skin",mild,Needs timely evaluation,"How doctors diagnose actinic keratosis A primary care physician or a dermatologist (a skin specialist) can usually diagnose this condition by examining your skin. They may use a special tool that magnifies your skin to get a better look. This exam is quick and painless. Sometimes, your provider may need to take a small sample of your skin to send to a lab for testing. This is called a skin biopsy .","0.698, 0.528, 0.523, 0.518, 0.514",https://my.clevelandclinic.org/health/diseases/14148-actinic-keratosis
10,acute bronchiolitis,"Bronchiolitis is a viral infection that affects children younger than 2 years old. It causes the airways ( bronchioles ) in your child’s lungs to narrow, which makes breathing difficult. If your child develops this infection, you may notice they have symptoms similar to a common cold (runny nose, cough) in addition to noisy breathing (wheezing). Acute conditions are severe and sudden in onset.",Respiratory / Pulmonology,"fever, nasal congestion, wheezing, vomiting, hurts to breath      ",mild,Usually needs treatment but not emergency,"How is bronchiolitis diagnosed? Your child’s healthcare provider will diagnose bronchiolitis after a physical exam and testing. During the exam, your child’s provider will check their vital signs and temperature and listen to their breathing through a stethoscope ( auscultation ). You can expect your child’s provider to ask you questions about their symptoms, like: How long has your child had symptoms? Has your child had a fever? Has your child been around others who were sick? Your child’s provider may place a pulse oximeter (pulse ox) on their fingertip or toe to determine how much oxygen is in their blood ( blood oxygen level ). Testing might include a nasal fluid culture, which is a swab that collects fluid from the inside of your child’s nose to detect viruses. If your child has severe symptoms, a chest X-ray might be necessary.","0.523, 0.523, 0.519, 0.515, 0.514",https://my.clevelandclinic.org/health/diseases/8272-bronchiolitis
